,census_tract,year,population,total_laborforce,resident_workforce,perc_total_resident_workforce,drove_alone,carpool,public_transit,walk,bike,other_mode,work_at_home,top_mode
0,3521,1990,2098,1115,411,1.6,31.6,3.2,11.4,42.3,8.8,1.2,1.5,walk
8,3522,1990,1736,717,281,1.1,35.9,9.3,22.8,21.7,3.9,0.0,6.4,drove_alone
12,3523,1990,1946,1258,666,2.6,23.6,9.5,14.4,44.4,5.7,0.0,2.4,walk
16,3524,1990,2108,693,331,1.3,24.5,1.5,20.2,49.8,3.9,0.0,0.0,walk
20,3525,1990,2636,1381,670,2.6,33.9,4.3,15.1,37.3,4.5,1.8,3.1,walk
24,3526,1990,2664,1435,638,2.5,27.9,16.0,13.3,39.3,3.4,0.0,0.0,walk
28,3527,1990,2296,1174,557,2.2,41.3,13.1,20.3,20.1,1.6,1.4,2.2,drove_alone
32,3528,1990,2342,1247,580,2.3,37.9,14.8,12.2,29.0,1.4,0.0,4.7,drove_alone
36,3529,1990,2609,1657,793,3.1,25.6,1.8,3.2,50.8,5.5,0.0,13.1,walk
40,3530,1990,3546,1917,763,3.0,15.6,9.3,10.9,47.4,7.3,0.0,9.4,walk
44,3531,1990,7123,3569,2568,10.1,4.0,1.9,4.2,77.1,4.8,0.5,7.5,walk
52,3532,1990,2814,1563,554,2.2,35.4,14.6,13.5,22.7,6.0,4.3,3.4,drove_alone
56,3533,1990,3476,2154,715,2.8,35.5,12.4,16.2,25.0,5.3,1.0,4.5,drove_alone
60,3534,1990,2303,1225,515,2.0,40.2,3.9,18.3,35.3,2.3,0.0,0.0,drove_alone
64,3535,1990,2391,1385,641,2.5,21.2,7.0,19.2,44.6,4.4,0.8,2.8,walk
68,3536,1990,4716,2343,1334,5.2,20.8,6.4,10.3,52.2,2.8,0.0,7.5,walk
72,3537,1990,5323,2942,1745,6.8,7.8,3.7,7.0,72.7,1.1,0.4,7.3,walk
76,3538,1990,4395,2963,1380,5.4,18.8,3.9,14.0,45.7,7.8,2.0,7.8,walk
80,3539,1990,5481,2607,1884,7.4,3.7,3.1,4.1,81.2,3.6,0.2,4.1,walk
84,3540,1990,4473,2727,1359,5.3,17.8,3.1,7.5,60.9,3.4,0.0,7.3,walk
88,3541,1990,2883,1862,913,3.6,20.9,4.3,3.5,50.9,2.1,1.6,16.6,walk
92,3542,1990,3110,1793,992,3.9,40.2,5.9,7.0,15.8,5.7,1.1,24.2,drove_alone
96,3543,1990,3451,1647,718,2.8,61.0,5.6,15.2,9.5,0.7,0.0,8.1,drove_alone
100,3544,1990,1740,1019,459,1.8,42.7,17.4,7.2,12.4,3.1,0.0,17.2,drove_alone
104,3545,1990,2427,1452,669,2.6,31.7,7.0,13.0,30.0,6.4,0.0,11.8,drove_alone
108,3546,1990,4037,2177,752,3.0,39.8,8.9,24.3,16.6,4.0,1.3,5.1,drove_alone
112,3547,1990,2189,1357,520,2.0,39.8,10.0,30.8,10.6,1.9,0.0,6.9,drove_alone
116,3548,1990,1971,1281,547,2.1,38.0,8.2,27.2,10.4,6.2,3.7,6.2,drove_alone
120,3549,1990,5004,2471,1005,3.9,42.8,12.4,21.0,17.2,1.8,1.0,3.8,drove_alone
124,3550,1990,2514,1224,528,2.1,39.8,12.5,39.4,7.4,0.0,0.9,0.0,drove_alone
128,Citywide,1990,95802,52355,25488,,24.8,6.6,12.3,44.5,4.0,0.7,7.1,walk
